name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
d9db19	Goblin	Charlatan	2018-04-24T19:03:03Z	Rogue 3	Rogue	Assassin	3		24	16	10	20	15	14	11	14		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception	Shortsword|Shortbow|Dagger		04 24 18		NA	NA	Goblin		Shortsword|Shortbow|Dagger	1-3	blissful_goldberg
f22218	Scourge Aasimar	Knight	2018-04-26T19:07:59Z	Fighter 3	Fighter	Samurai	3		36	16	16	13	16	8	14	14	lawful good	Athletics|Animal Handling|Insight|Perception	Longsword|Shortsword|Longbow		04 26 18	LG	G	L	Aasimar		Longsword|Shortsword|Longbow	1-3	affectionate_booth
d43cfb	Dark Elf	Far Traveler	2018-04-26T19:26:14Z	Fighter 3	Fighter	Eldritch Knight	3		28	18	15	10	15	14	10	9		History|Animal Handling|Insight|Perception	Longsword|Crossbow, light		04 26 18		NA	NA	Elf		Longsword|Crossbow, Light	1-3	upbeat_hoover
9cf749	Scourge Aasimar	Folk Hero	2018-04-26T20:25:17Z	Paladin 3	Paladin	OathBreaker	3		32	18	16	13	16	8	12	16		Athletics|Animal Handling|Survival|Intimidation	Longsword|Javelin	Hellish Rebuke*1|Inflict Wounds*1	04 26 18		NA	NA	Aasimar	Hellish Rebuke*1|Inflict Wounds*1	Longsword|Javelin	1-3	affectionate_mendel
aa5dea	Goliath		2018-04-27T17:21:53Z	Cleric 3	Cleric	Forge Domain	3		31	18	16	13	16	8	16	12	neutral	Athletics|Insight|Survival|Persuasion	Mace|Spear	Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2	04 27 18	NN	N	N	Goliath	Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2	Mace|Spear	1-3	ecstatic_sutherland
1c5783	Stout Halfling	Barbarian Tribe Member	2018-04-27T19:23:27Z	Barbarian 3	Barbarian	Path of the Berserker	3		38	16	16	16	16	13	14	14		Athletics|Nature|Animal Handling|Survival	Greataxe|Handaxe|Javelin		04 27 18		NA	NA	Halfling		Greataxe|Handaxe|Javelin	1-3	dazzling_dewdney
7ea9e1	Tabaxi	Urban Bounty Hunter	2018-04-27T20:07:37Z	Rogue 3	Rogue	Assassin	3		24	14	8	17	14	10	12	14	CN	Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		04 27 18	CN	N	C	Tabaxi		Rapier|Shortbow|Dagger	1-3	nifty_lumiere
79f29c	Goliath	Barbarian Tribe Member	2018-04-27T20:09:33Z	Barbarian 3	Barbarian	Path of the Zealot	3		32	12	17	10	15	8	12	13		Athletics|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin		04 27 18		NA	NA	Goliath		Greataxe|Handaxe|Javelin	1-3	sad_lehmann
60e240	Triton	Knight	2018-04-27T20:10:27Z	Fighter 3	Fighter	Samurai	3		28	18	16	14	14	8	10	13	LG	Athletics|Acrobatics|History|Insight|Persuasion	Lance|Handaxe		04 27 18	LG	G	L	Triton		Lance|Handaxe	1-3	vigorous_benz
b6cafc	Half-Elf	Acolyte	2018-04-29T23:48:39Z	Rogue 3	Rogue	Assassin	3		21	13	15	14	13	12	10	10		Acrobatics|Sleight of Hand|Stealth|Religion|Insight|Intimidation|Performance|Persuasion	Rapier|Shortbow|Dagger		04 29 18		NA	NA	Half-Elf		Rapier|Shortbow|Dagger	1-3	boring_hypatia
4b7f11	Wood Elf	Custom	2018-04-29T23:49:31Z	Ranger 3	Ranger	Beast Master	3		25	15	12	18	13	10	17	8		Stealth|Nature|Animal Handling|Insight|Perception|Survival	Shortsword|Longbow		04 29 18		NA	NA	Elf		Shortsword|Longbow	1-3	ecstatic_yalow
59c905	Dragonborn	Acolyte	2018-04-29T23:50:12Z	Barbarian 3	Barbarian	Path of the Berserker	3		29	13	17	14	13	12	10	9		Religion|Insight	Greataxe|Handaxe|Javelin		04 29 18		NA	NA	Dragonborn		Greataxe|Handaxe|Javelin	1-3	cool_meitner
c02930	Half-Elf	Courtier	2018-05-01T14:14:11Z	Bard 3	Bard	College of Lore	3		24	13	10	14	14	9	12	17		Acrobatics|Sleight of Hand|History|Insight|Medicine|Deception|Performance|Persuasion	Rapier|Dagger		05 01 18		NA	NA	Half-Elf		Rapier|Dagger	1-3	dreamy_hugle
ebf624	Human	Soldier	2018-05-02T16:42:07Z	Ranger 3	Ranger	Hunter	3	Sharpshooter	25	14	13	16	13	8	14	10		Athletics|Stealth|Animal Handling|Perception|Survival|Intimidation	Shortsword|Longbow		05 02 18		NA	NA	Human		Shortsword|Longbow	1-3	festive_hugle
29ca76	Goliath	Outlander	2018-05-03T15:01:35Z	Revised Ranger 3	Revised Ranger	Hunter Conclave	3		24	13	16	15	14	10	12	8	Neuteral Good	Athletics|Stealth|Nature|Animal Handling|Survival	Longbow|Greataxe		05 03 18	NG	G	N	Goliath		Longbow|Greataxe	1-3	infallible_heyrovsky
4b30be	Human	Hermit	2018-05-04T00:32:25Z	Monk 3	Monk	Way of the Kensei	3		24	12	15	16	14	13	9	11		Athletics|Religion|Insight|Medicine	Quarterstaff|Dart|Unarmed Strike		05 03 18		NA	NA	Human		Quarterstaff|Dart|Unarmed Strike	1-3	laughing_lamport
fd71db	Human	City Watch	2018-05-04T01:00:53Z	Warlock 3	Warlock	The Celestial	3	Spell Sniper	24	13	10	14	14	16	14	18	LN	Athletics|Investigation|Insight|Perception|Deception	Dagger|Quarterstaff	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestiditation*0|Mending*0|Mage Hand*0|Protecton From Good And Evil*1|Hex*1|Guiding Bolt*1|Cure Wounds*1	05 03 18	LN	N	L	Human	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mending*0|Mage Hand*0|Hex*1|Guiding Bolt*1|Cure Wounds*1	Dagger|Quarterstaff	1-3	confident_ellis
e4a93c	Human	Noble	2018-05-04T01:02:34Z	Sorcerer 3	Sorcerer	Draconic Bloodline	3	Spell Sniper	26	16	10	16	16	11	11	18	NG	Arcana|History|Insight|Deception|Persuasion	Quarterstaff|Dagger		05 03 18	NG	G	N	Human		Quarterstaff|Dagger	1-3	adoring_swirles
e291c4	Hill Dwarf	Cloistered Scholar	2018-05-04T01:03:11Z	Cleric 3	Cleric	Life Domain	3		30	16	16	10	16	12	18	11		History|Religion|Insight|Medicine	Warhammer|Crossbow, light	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2	05 03 18		NA	NA	Dwarf	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2	Warhammer|Crossbow, Light	1-3	practical_hoover
1b4f23	Human	Acolyte	2018-05-04T01:03:40Z	Cleric 3	Cleric	Tempest Domain	3	Magic Initiate	27	16	12	10	16	10	18	12		Religion|Insight|Medicine|Persuasion	Warhammer|Crossbow, light	Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2	05 03 18		NA	NA	Human	Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2	Warhammer|Crossbow, Light	1-3	dreamy_raman
38ef2c	Human	Far Traveler	2018-05-04T01:27:24Z	Rogue 3	Rogue	Assassin	3		24	14	9	16	15	14	11	13		Acrobatics|Stealth|Insight|Perception|Intimidation|Performance	Rapier|Shortbow|Dagger		05 03 18		NA	NA	Human		Rapier|Shortbow|Dagger	1-3	nifty_stallman
92b0c2	Half-Elf	Hermit	2018-05-04T20:39:29Z	Druid 3	Druid	Circle of the Shepherd	3		24	11	11	11	15	13	17	16		Nature|Religion|Animal Handling|Insight|Medicine|Perception	Spear|Handaxe		05 04 18		NA	NA	Half-Elf		Spear|Handaxe	1-3	wizardly_galileo
81e908	Human	Sage	2018-05-04T21:26:24Z	Druid 3	Druid	Circle of the Land	3		24	12	11	12	14	16	13	11		Arcana|History|Animal Handling|Perception	Scimitar|Dagger	Thorn Whip*0|Druidcraft*0|Fog Cloud*1|Jump*1|Speak With Animals*1|Moonbeam*2|Locate Object*2|Spider climb*2|Web*2	05 04 18		NA	NA	Human	Thorn Whip*0|Druidcraft*0|Fog Cloud*1|Jump*1|Speak with Animals*1|Moonbeam*2|Locate Object*2|Spider Climb*2|Web*2	Scimitar|Dagger	1-3	cocky_northcutt
9b7748	Half-Orc	Outlander	2018-05-05T00:31:41Z	Monk 3	Monk	Way of the Four Elements	3		24	12	17	14	14	12	10	8		Athletics|History|Religion|Survival|Intimidation	Monk Unarmed Strike|Shortsword|Dart		05 04 18		NA	NA	Half-Orc		Unarmed Strike|Shortsword|Dart	1-3	heuristic_mclaren
c2103d	Half-Orc	Folk Hero	2018-05-05T00:38:15Z	Monk 3	Monk	Way of the Drunken Master	3		27	14	13	15	14	12	14	11	Lawful good	Acrobatics|Animal Handling|Insight|Survival|Intimidation|Performance	Dart|Unarmed Strike|Quarterstaff		05 04 18	LG	G	L	Half-Orc		Dart|Unarmed Strike|Quarterstaff	1-3	ecstatic_shaw
0596a4	Lightfoot Halfling	Criminal	2018-05-05T00:46:19Z	Rogue 3	Rogue	Arcane Trickster	3		21	14	15	16	13	12	10	9		Acrobatics|Sleight of Hand|Stealth|Insight|Deception|Persuasion	Rapier|Shortsword|Shortbow|Dagger	Mage Hand*0|Message*0|Disguise Self*1|Magic Missle*1	05 04 18		NA	NA	Halfling	Mage Hand*0|Message*0|Disguise Self*1|Magic Missile*1	Rapier|Shortsword|Shortbow|Dagger	1-3	tender_shtern
fa403a	Gray Dwarf	Urban Bounty Hunter	2018-05-06T21:44:38Z	Ranger 3	Ranger	Hunter	3		28	16	16	14	15	12	10	8		Nature|Animal Handling|Insight|Perception|Persuasion	Shortsword|Longbow		05 06 18		NA	NA	Dwarf		Shortsword|Longbow	1-3	crazy_euclid
4626a0	Variant	Acolyte	2018-05-07T06:30:49Z	Warlock 3	Warlock	The Great Old One	3		30	12	12	12	15	13	15	20	Neutral Evil	Arcana|Religion|Insight|Deception	Quarterstaff|Shortbow|Dagger	Eldritch Blast*0|Thunderclap*0|Friends*0|Dancing Lights*0|Fire Bolt*0|Viscious Mockery*0|Hellish Rebuke*1|Dissonant Whispers*1	05 06 18	NE	E	N	Half-Elf	Eldritch Blast*0|Thunderclap*0|Friends*0|Dancing Lights*0|Fire Bolt*0|Vicious Mockery*0|Hellish Rebuke*1|Dissonant Whispers*1	Quarterstaff|Shortbow|Dagger	1-3	charming_jepsen
57c9b7	Tabaxi	Sailor	2018-05-10T00:41:09Z	Monk 3	Monk	Way of the Open Hand	3		18	15	10	17	12	10	15	10		Athletics|Acrobatics|Stealth|Insight|Perception	Quarterstaff|Dart|Unarmed strike		05 09 18		NA	NA	Tabaxi		Quarterstaff|Dart|Unarmed Strike	1-3	naughty_borg
640495	Half-Orc	Acolyte	2018-05-18T00:08:17Z	Cleric 3	Cleric	Life Domain	3		22	18	16	10	17	12	17	14		Religion|Insight|Medicine|Intimidation|Persuasion	Mace|Crossbow, light	Light*0|Mending*0|Sacred Flame*0|Bless Domain Spell*1|Cure Wounds Domain Spell*1|Shield Of Faith*1|Sanctuary*1|Healing Word*1|Inflicting Wounds*1|Lesser Restoration Domain Spell*2|Spiritual Weapon Domain Spell*2|Zone Of Truth*2|Blindness/deafness*2	05 17 18		NA	NA	Half-Orc	Light*0|Mending*0|Sacred Flame*0|Bless*1|Cure Wounds*1|Shield of Faith*1|Sanctuary*1|Healing Word*1|Inflict Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Zone of Truth*2|Blindness/Deafness*2	Mace|Crossbow, Light	1-3	friendly_grothendieck
7924b7	Wood Elf	Acolyte	2018-05-19T16:43:16Z	Cleric 3	Cleric	Life Domain	3		27	15	10	14	12	12	17	16	NB	Religion|Insight|Medicine|Perception|Persuasion	Mace|Crossbow, light	Luz*0|Taumaturgia*0|Orientação *0|Bless*1|Cure Wounds*1|Detectar Magia*1|Detectar Veneno E Doença*1|Command*1|Guiding Bolt*1|Purificar Alimentos*1|Lesser Restoration*2|Spiritual Weapon*2	05 19 18		NA	NA	Elf	Thaumaturgy*0|Friends*0|Bless*1|Cure Wounds*1|Detect Magic*1|Command*1|Guiding Bolt*1|Lesser Restoration*2|Spiritual Weapon*2	Mace|Crossbow, Light	1-3	youthful_faraday
ae4c01	Human	Knight	2018-05-20T22:00:31Z	Monk 3	Monk	Way of Tranquility	3	Mounted Combatant	24	15	8	16	14	12	14	10		Acrobatics|Stealth|History|Perception|Persuasion	Shortsword|Dart|Unarmed strike		05 20 18		NA	NA	Human		Shortsword|Dart|Unarmed Strike	1-3	elastic_hertz
f55235	Centaur	Sailor	2018-05-20T22:03:23Z	Rogue 3	Rogue	Thief	3		21	13	16	15	12	10	14	8		Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Survival	Shortsword|Shortsword|Dagger		05 20 18		NA	NA	Centaur		Shortsword|Dagger	1-3	quizzical_brown
772dea	Turtle	Soldier	2018-05-21T00:43:27Z	Barbarian 3	Barbarian	Path of the Totem Warrior	3		38	18	20	14	18	9	14	15		Athletics|Animal Handling|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin		05 20 18		NA	NA	Turtle		Greataxe|Handaxe|Javelin	1-3	kind_hypatia
f1414c	Human	Hermit	2018-05-25T17:11:39Z	Monk 3	Monk	Way of the Open Hand	3		27	15	13	16	14	9	15	11	Neutral Good	Athletics|Acrobatics|Religion|Medicine	Quarterstaff|Dart|Unarmed strike		05 25 18	NG	G	N	Human		Quarterstaff|Dart|Unarmed Strike	1-3	elated_golick
0a34ee	Human	Folk Hero	2018-05-26T14:35:36Z	Paladin 3	Paladin	Oath of Devotion	3	Charger	29	18	16	10	12	10	13	14		Athletics|Religion|Animal Handling|Survival|Persuasion	Warhammer	Protection from Evil and Good*1|Sanctuary*1	05 26 18		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1	Warhammer	1-3	modest_payne
6cd6ef	Lightfoot Halfling	Criminal	2018-05-26T14:39:10Z	Rogue 3	Rogue	Thief	3		24	14	10	17	12	10	9	16		Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation	Rapier|Shortbow|Dagger		05 26 18		NA	NA	Halfling		Rapier|Shortbow|Dagger	1-3	keen_mayer
a45bd0	Half-Elf	Mercenary Veteran	2018-05-26T14:40:13Z	Fighter 3	Fighter	Champion	3		28	18	16	14	13	10	10	14		Athletics|Acrobatics|Survival|Deception|Intimidation|Persuasion	Greatsword|Handaxe		05 26 18		NA	NA	Half-Elf		Greatsword|Handaxe	1-3	determined_chatelet
6fef89	Hill Dwarf	Mercenary Veteran	2018-05-26T14:43:06Z	Sorcerer 3	Sorcerer	Draconic Bloodline	3		24	13	10	10	13	12	15	15		Athletics|Arcana|Deception|Persuasion	Quarterstaff|Dagger		05 26 18		NA	NA	Dwarf		Quarterstaff|Dagger	1-3	gifted_bassi
a12c42	Goblin	Acolyte	2018-05-26T14:45:06Z	Wizard 3	Wizard	School of Evocation	3		16	12	8	14	13	15	14	11		Arcana|Investigation|Religion|Insight	Dagger		05 26 18		NA	NA	Goblin		Dagger	1-3	nifty_zhukovsky
b7e31d	Tiefling	Acolyte	2018-05-26T14:46:48Z	Cleric 3	Cleric	War Domain	3		21	18	13	12	10	12	15	14		History|Religion|Insight|Persuasion	Warhammer|Crossbow, light	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2	05 26 18		NA	NA	Tiefling	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2	Warhammer|Crossbow, Light	1-3	elated_gould
1ae35a	Deep Gnome	Haunted One	2018-05-26T14:50:20Z	Monk 3	Monk	Way of Shadow	3		23	15	9	16	12	12	14	12		Acrobatics|Stealth|Arcana|Survival	Handaxe|Dart|Unarmed strike		05 26 18		NA	NA	Gnome		Handaxe|Dart|Unarmed Strike	1-3	compassionate_chatelet
0ff20d	Mountain Dwarf	Soldier	2018-05-26T19:54:08Z	Barbarian 3	Barbarian	Path of the Ancestral Guardian	3		35	14	17	13	16	8	12	10		Athletics|Animal Handling|Survival|Intimidation	Greataxe|Javelin		05 26 18		NA	NA	Dwarf		Greataxe|Javelin	1-3	friendly_jennings
89e62b	High Elf	Sage	2018-05-26T22:18:59Z	Wizard 3	Wizard	School of Evocation	3		21	12	10	14	13	16	10	13		Arcana|History|Religion|Insight|Perception	Dagger		05 26 18		NA	NA	Elf		Dagger	1-3	happy_ardinghelli
24f0e8	Tiefling	Charlatan	2018-05-26T22:19:41Z	Rogue 3	Rogue	Mastermind	3		15	12	11	13	10	12	14	16		Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		05 26 18		NA	NA	Tiefling		Rapier|Shortbow|Dagger	1-3	upbeat_khayyam
f109bf	Human	Noble	2018-05-27T09:57:15Z	Wizard 3	Wizard	School of Illusion	3	Prodigy	11	11	8	12	8	16	16	13		Arcana|History|Investigation|Perception|Persuasion	Quarterstaff		05 27 18		NA	NA	Human		Quarterstaff	1-3	bold_banzai
fc67e2	Human	Cloistered Scholar	2018-05-27T10:08:13Z	Cleric 3	Cleric	Forge Domain	3		24	16	14	11	15	13	9	16		Arcana|History|Insight|Persuasion	Mace|Club	Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2	05 27 18		NA	NA	Human	Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2	Mace|Club	1-3	amazing_buck
7a2bfc	Kenku	Criminal	2018-05-27T20:14:52Z	Warlock 3	Warlock	The Celestial	3		13	13	8	15	10	14	13	15		Sleight of Hand|Stealth|Arcana|Religion|Deception	Crossbow, Light|Dagger	Light*0|Sacred Flame*0|Eldritch Blast*0|Agonizing Blast (ELDRITCH INVOCATION)*0|Mask Of Many Faces (ELDRITCH INVOCATION)*0|Prestidigitation*0|Guidance (Pact of the Tome)*0|True Strike (Pact of the Tome)*0|Mage Hand (Pact of the Tome)*0|Cure Wounds*1|Guiding Bolt*1|Hellish Rebuke*1|Protection from Evil and Good*1|Lesser Restoration*2|Flaming Sphere*2|Mirror Image*2|Misty Step*2	05 27 18		NA	NA	Kenku	Light*0|Sacred Flame*0|Eldritch Blast*0|Eldritch Blast*0|Prestidigitation*0|Guidance*0|True Strike*0|Mage Hand*0|Cure Wounds*1|Guiding Bolt*1|Hellish Rebuke*1|Protection from Evil and Good*1|Lesser Restoration*2|Flaming Sphere*2|Mirror Image*2|Misty Step*2	Crossbow, Light|Dagger	1-3	epic_davinci
21ef24	Gray Dwarf	Mercenary Veteran	2018-05-28T02:18:11Z	Barbarian 3	Barbarian	Path of the Battlerager	3		35	17	16	12	17	10	10	9		Athletics|Animal Handling|Perception|Persuasion	Greataxe|Handaxe|Javelin		05 27 18		NA	NA	Dwarf		Greataxe|Handaxe|Javelin	1-3	heuristic_moore
988876	Human	Sailor	2018-05-29T18:21:43Z	Druid 3	Druid	Circle of the Moon	3	Prodigy	27	13	12	14	16	12	17	16		Athletics|Nature|Insight|Perception|Survival|Intimidation	Javelin|Quarterstaff		05 29 18		NA	NA	Human		Javelin|Quarterstaff	1-3	sad_joliot
1bfc2a	Tiefling	Criminal	2018-06-02T16:47:22Z	Warlock 3	Warlock	The Hexblade	3		24	12	8	13	14	11	12	17		Stealth|Arcana|Deception|Intimidation	Crossbow, light|Dagger		06 02 18		NA	NA	Tiefling		Crossbow, Light|Dagger	1-3	cranky_mccarthy
3a4ac0	Lightfoot Halfling	Guild Artisan	2018-06-06T16:21:18Z	Cleric 3	Cleric	Life Domain	3		27	18	12	16	13	10	15	9		Religion|Insight|Medicine|Persuasion	Mace|Crossbow, light	Spare The Dying*0|Sacred Flame*0|Light*0|Cure Wounds*1|Detect Magic*1|Inflict Wounds*1|Healing Word*1|Spiritual Weapon*2|Shatter*2	06 06 18		NA	NA	Halfling	Spare the Dying*0|Sacred Flame*0|Light*0|Cure Wounds*1|Detect Magic*1|Inflict Wounds*1|Healing Word*1|Spiritual Weapon*2|Shatter*2	Mace|Crossbow, Light	1-3	ecstatic_lewin
1eb888	Wood Elf	Urchin	2018-06-06T16:45:02Z	Monk 3	Monk	Way of the Open Hand	3		29	15	12	17	14	10	14	8		Acrobatics|Sleight of Hand|Stealth|Insight|Perception	Shortsword|Unarmed strike|Longbow|Dagger|Dagger		06 06 18		NA	NA	Elf		Shortsword|Unarmed Strike|Longbow|Dagger	1-3	quizzical_wiles
1e10e4	Goliath	Clan Crafter	2018-06-07T00:34:21Z	Barbarian 3	Barbarian	Path of the Berserker	3		35	15	17	14	16	8	8	10	cn	Athletics|History|Insight|Perception|Intimidation	Maul|Handaxe|Javelin		06 06 18	CN	N	C	Goliath		Maul|Handaxe|Javelin	1-3	condescending_wozniak
ab4bee	Variant	Faction Agent/Outlander	2018-06-07T05:27:38Z	Paladin 3	Paladin	Oath of Ancients	3		39	19	17	14	19	12	16	20	"""Good"""	Athletics|Nature|Religion|Insight|Persuasion	Longsword|Javelin|Quarterstaff|Greatsword?	Fire Bolt  1d10 120ft*0|Booming Blade? (After AC bump)*0|Blade Ward? (melee resistance)*0|Ensnaring Strike*1|Speak with Animals*1|Shield of Faith*1|Bless*1|Compelled Duel (no AL)*1|Protection from Good and Evil*1|Command (Reaction)*1|Heroism*1	06 06 18	NG	G	N	Half-Elf	Fire Bolt*0|Booming Blade*0|Blade Ward*0|Ensnaring Strike*1|Speak with Animals*1|Shield of Faith*1|Bless*1|Compelled Duel*1|Protection from Evil and Good*1|Heroism*1	Longsword|Javelin|Quarterstaff|Greatsword	1-3	naughty_gould
b3a26a	High Elf	Noble	2018-06-15T21:53:01Z	Barbarian 3	Barbarian	Path of the Berserker	3		29	14	15	16	13	11	8	12		Athletics|History|Perception|Intimidation|Persuasion	Halberd|Dagger|Javelin	True Strike *0	06 15 18		NA	NA	Elf	True Strike*0	Halberd|Dagger|Javelin	1-3	thirsty_tharp
a77d96	High Elf	Custom	2018-06-18T20:54:44Z	Ranger 3	Ranger	Beast Master	3		34	16	13	20	18	14	15	11		Stealth|Nature|Animal Handling|Insight|Perception|Survival	Shortsword|Longbow|Rapier|	Firebolt*0|Cure Wounds*1|Hunters Mark*1	06 18 18		NA	NA	Elf	Fire Bolt*0|Cure Wounds*1|Hunter’s Mark*1	Shortsword|Longbow|Rapier	1-3	friendly_jang
f3ff2e	Forest Gnome	Hermit	2018-06-19T10:10:16Z	Ranger 3	Ranger	Hunter	3		25	16	8	16	13	14	14	10		Investigation|Religion|Medicine|Perception|Survival	Shortsword|Longbow		06 19 18		NA	NA	Gnome		Shortsword|Longbow	1-3	bold_rosalind
f797bc	Wood Elf	Clan Crafter	2018-06-21T02:25:11Z	Rogue 3	Rogue	Assassin	3		24	14	8	17	14	8	13	14		Stealth|History|Investigation|Insight|Perception|Deception|Performance	Rapier|Shortbow|Dagger		06 20 18		NA	NA	Elf		Rapier|Shortbow|Dagger	1-3	sad_zhukovsky
45c534	Goliath	Clan Crafter	2018-06-21T02:48:28Z	Barbarian 3	Barbarian	Path of the Berserker	3		35	14	17	12	16	8	8	13		Athletics|History|Insight|Perception|Intimidation	Greataxe|Handaxe|Javelin		06 20 18		NA	NA	Goliath		Greataxe|Handaxe|Javelin	1-3	blissful_heisenberg
f04c3d	Goliath	clan hero	2018-06-24T02:19:02Z	Monk 3	Monk	Way of the Sun Soul	3		30	14	15	17	16	9	12	11	neutral	Athletics|Acrobatics|History|Insight|Intimidation	Spear|Dart|Unarmed strike		06 23 18	NN	N	N	Goliath		Spear|Dart|Unarmed Strike	1-3	cool_goldstine
7897b9	Dragonborn	Criminal	2018-06-24T11:04:20Z	Barbarian 3	Barbarian	Path of the Berserker	3		32	15	20	16	15	13	13	13		Athletics|Stealth|Deception|Intimidation	Greataxe|Handaxe|Javelin		06 24 18		NA	NA	Dragonborn		Greataxe|Handaxe|Javelin	1-3	epic_villani
f1199f	Human	Soldier	2018-06-27T14:05:29Z	Fighter 3	Fighter	Battle Master	3	Linguist	23	16	14	16	8	11	14	12		Athletics|Sleight of Hand|Perception|Survival|Intimidation	Rapier|Shortsword|Handaxe		06 27 18		NA	NA	Human		Rapier|Shortsword|Handaxe	1-3	frosty_neumann
04be37	Sea Elf	Sailor	2018-06-27T15:26:47Z	Wizard 3	Wizard	School of Conjuration	3		24	13	15	16	14	12	10	8		Athletics|Investigation|Insight|Perception	Dagger		06 27 18		NA	NA	Elf		Dagger	1-3	angry_haibt
74591b	Human	Noble	2018-06-28T13:37:00Z	Rogue 3	Rogue	Assassin	3		24	14	9	16	11	14	13	15		Sleight of Hand|Stealth|History|Deception|Performance|Persuasion	Rapier|Shortbow|Dagger		06 28 18		NA	NA	Human		Rapier|Shortbow|Dagger	1-3	youthful_shockley
f11bbc	Mountain Dwarf	Mercenary Veteran	2018-06-28T14:24:44Z	Barbarian 3	Barbarian	Path of the Zealot	3		45	14	17	13	16	8	10	12	Chaotic Good	Athletics|Survival|Intimidation|Persuasion	Greataxe|Handaxe|Javelin		06 28 18	CG	G	C	Dwarf		Greataxe|Handaxe|Javelin	1-3	vigorous_hertz
c02874	Tiefling	Acolyte	2018-06-28T20:49:25Z	Bard 3	Bard	College of Glamour	3		27	13	8	15	14	10	9	17		Sleight of Hand|Religion|Animal Handling|Insight|Performance	Mace|Dagger		06 28 18		NA	NA	Tiefling		Mace|Dagger	1-3	clever_jones
aecead	Ghastly Halfling	Outlander	2018-07-05T20:33:53Z	Druid 3	Druid	Circle of the Moon	3		27	16	7	14	16	8	17	13	neutral good	Athletics|Nature|Perception|Survival	Scimitar|Produce Flame	Druidcraft*0|Produce Flame*0|Goodberry*1|Create Or Destroy Water*1|Healing Word*1|Cure Wounds*1|Lesser Restoration*2|Healing Spirit*2|Pass Without Trace*2|Darkvision*2	07 05 18	NG	G	N	Halfling	Druidcraft*0|Produce Flame*0|Goodberry*1|Create or Destroy Water*1|Healing Word*1|Cure Wounds*1|Lesser Restoration*2|Healing Spirit*2|Pass Without Trace*2|Darkvision*2	Scimitar	1-3	unruffled_cocks
81919c	Human	Noble	2018-07-05T20:42:03Z	Fighter 3	Fighter	Cavalier	3	Polearm Master	31	16	19	12	16	14	16	14		Athletics|History|Animal Handling|Insight|Perception|Persuasion	Glaive|Pike|Handaxe		07 05 18		NA	NA	Human		Glaive|Pike|Handaxe	1-3	suspicious_mclean
292808	Fire Genasi	Noble	2018-07-08T15:46:26Z	Sorcerer 3	Sorcerer	Wild Magic	3		18	10	8	10	14	14	14	15		Arcana|History|Insight|Persuasion	Dagger|Dagger		07 08 18		NA	NA	Genasi		Dagger	1-3	practical_lumiere
cc3115	Eladrin DMG	Acolyte	2018-07-09T07:44:02Z	Cleric 3	Cleric	Life Domain	3		24	18	8	14	10	14	15	14	Chaotic Neutral	History|Religion|Insight|Medicine|Perception	Mace|Javelin	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2	07 09 18	CN	N	C		Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2	Mace|Javelin	1-3	sharp_bose
65a106	Goblin	Sage	2018-07-09T07:45:41Z	Druid 3	Druid	Circle of Dreams	3		24	15	13	14	11	14	15	8	Chaotic Good	Arcana|History|Nature|Insight	Scimitar		07 09 18	CG	G	C	Goblin		Scimitar	1-3	trusting_babbage
ee2cdf	Tiefling	Entertainer	2018-07-09T07:48:43Z	Sorcerer 3	Sorcerer	Storm Sorcery	3		21	12	8	14	12	14	10	17		Acrobatics|Arcana|Deception|Performance	Spear|Dagger		07 09 18		NA	NA	Tiefling		Spear|Dagger	1-3	peaceful_goldstine
